symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
TS1903,20181030,,,,99.505,0,44.0,0.0,99.61,99.61,TS
TS1906,20181030,,,,98.895,0,8.0,0.0,99.305,99.305,TS
TS1812,20181031,99.595,99.635,99.575,99.635,204,2865.0,40639.58,99.62,99.605,TS
TS1903,20181031,,,,99.505,0,44.0,0.0,99.625,99.61,TS
TS1906,20181031,,,,98.895,0,8.0,0.0,99.32,99.305,TS
TS1812,20181101,99.63,99.655,99.6,99.64,315,2844.0,62760.58,99.64,99.62,TS
TS1903,20181101,99.625,99.625,99.62,99.62,6,49.0,1195.45,99.62,99.625,TS
TS1906,20181101,,,,98.895,0,8.0,0.0,99.34,99.32,TS
TS1812,20181101,99.63,99.655,99.6,99.64,315,2844.0,62760.58,99.64,99.62,TS
TS1903,20181101,99.625,99.625,99.62,99.62,6,49.0,1195.45,99.62,99.625,TS
TS1906,20181101,,,,98.895,0,8.0,0.0,99.34,99.32,TS
TS1812,20181102,99.595,99.645,99.555,99.61,428,2736.0,85256.08,99.605,99.64,TS
TS1903,20181102,99.62,99.625,99.62,99.625,5,54.0,996.22,99.62,99.62,TS
TS1906,20181102,,,,98.895,0,8.0,0.0,99.305,99.34,TS
TS1812,20181105,99.57,99.665,99.57,99.655,566,2656.0,112792.71,99.645,99.605,TS
TS1903,20181105,99.63,99.66,99.63,99.65,369,423.0,73541.2,99.645,99.62,TS
TS1906,20181105,,,,98.895,0,8.0,0.0,99.345,99.305,TS
TS1812,20181106,99.65,99.78,99.64,99.78,729,2379.0,145351.28,99.755,99.645,TS
TS1903,20181106,99.65,99.74,99.65,99.74,154,563.0,30699.86,99.73,99.645,TS
TS1906,20181106,,,,98.895,0,8.0,0.0,99.455,99.345,TS
TS1812,20181107,99.755,99.9,99.715,99.885,656,1949.0,130933.34,99.88,99.755,TS
TS1903,20181107,99.74,99.81,99.74,99.81,56,580.0,11175.58,99.8,99.73,TS
TS1906,20181107,,,,98.895,0,8.0,0.0,99.58,99.455,TS
TS1812,20181108,99.83,99.96,99.83,99.945,445,1840.0,88935.48,99.945,99.88,TS
TS1903,20181108,99.815,99.835,99.79,99.835,22,571.0,4392.1,99.825,99.8,TS
TS1906,20181108,,,,98.895,0,8.0,0.0,99.645,99.58,TS
TS1812,20181109,99.935,99.97,99.89,99.9,282,1741.0,56359.67,99.915,99.945,TS
TS1903,20181109,99.82,99.875,99.785,99.875,150,663.0,29953.02,99.86,99.825,TS
TS1906,20181109,,,,98.895,0,8.0,0.0,99.615,99.645,TS
TS1812,20181112,99.92,99.92,99.88,99.9,231,1653.0,46154.34,99.9,99.915,TS
TS1903,20181112,,,,99.875,0,663.0,0.0,99.845,99.86,TS
